experiment,cutoff,seconds,norm,minimum_retained_norm,maximum_boundary_population,peak_dimension,fidelity_to_previous,trace_distance_to_previous,probability_l1_to_previous,photon_number
cubic_gate,12,0.04401340000185883,1.0000000000000004,0.999999999999999,0.0031041770204499066,12,,,,0.29935638827372113
cubic_gate,24,0.003153900004690513,1.0,1.0,0.00014894766502774551,24,0.9952358908042385,0.0690225267268722,0.014235118355992773,0.3142857037439582
cubic_gate,48,0.005804399996122811,1.0000000000000004,0.9999999999999883,6.475103182789132e-06,48,0.9996180825890233,0.019542707360487417,0.0018098256624713544,0.31673897076302066
cubic_gate,80,0.008227899998018984,1.0000000000000002,0.9999999999999618,1.583232698643472e-07,80,0.9999852117169155,0.0038455536773474037,8.747120326964397e-05,0.3168677009833719
cubic_injection,36,0.1799334000024828,1.0,0.999927655902915,1.1331051333675861e-05,666,,,,0.10001107236623988
cubic_injection,48,0.0833515999984229,1.0000000000000004,0.9999844063926181,2.0305998624102246e-06,1176,0.9999985458235672,0.0012058923806396137,1.1197036445583366e-05,0.09998907937747463
cubic_injection,64,0.12759740000183228,1.0000000000000002,0.9999973178438996,2.838591344414362e-07,2080,0.9999997078139705,0.0005405423483753338,1.6611865027349894e-06,0.09998580052998131
cat,12,0.0017006999987643212,0.9999999999999998,0.9999924648822603,0.00019104463997956562,12,,,,2.200484492417244
cat,16,0.001367900003970135,1.0000000000000004,0.9999999956288915,2.0380570658794093e-07,16,0.9999924692533358,0.0027442205932498047,1.50614933284504e-05,2.2005586976973803
cat,24,0.0015520999950240366,1.0,0.9999999999999998,1.0382889756224603e-14,24,0.9999999956288921,6.611435641508536e-05,8.742216466434939e-09,2.2005587581623285
